339,Louisville,ACC,Norval McKenzie,335000,0,335000,335000,0,4555000
340,Arizona,Pac-12,Andy Buh,375000,40625,334375,334375,40625,3067944
341,North Carolina,ACC,Tim Cross,360000,30000,330000,330000,54000,4868415
342,West Virginia,Big 12,Jordan Lesley,341000,11333,329667,329667,17000,3746980
343,Oregon,Pac-12,Rod Chance,350000,22604,327396,327396,37188,4770626
344,Oregon,Pac-12,Ken Wilson,350000,22604,327396,327396,37188,4770626
345,Oregon,Pac-12,Bobby Williams,350000,22604,327396,327396,22604,4770626
346,Oregon,Pac-12,Alex Mirabal,350000,22604,327396,327396,22604,4770626
347,California,Pac-12,Marques Tuiasosopo,325000,0,325000,326500,0,3623218
348,NC State,ACC,Joe DeForest,350000,24792,325208,325208,48125,3957436
349,Georgia Tech,ACC,Nathan Burton,325000,0,325000,325000,0,3236000
350,Auburn,SEC,Carnell Williams,325000,0,325000,325000,0,6760000
351,Arizona State,Pac-12,Robert Rodriguez,325000,0,325000,325000,0,3700000
352,Washington State,Pac-12,Mark Weber,350000,29167,320833,320833,29167,3632915
353,Kentucky,SEC,Jovon Bouknight,320000,0,320000,320000,0,5781100
354,Maryland,Big Ten,George Helow,325000,5833,319167,319167,10000,3569567
355,Indiana,Big Ten,Kevin Peoples,330000,12692,317308,317308,12692,3480810
356,Mississippi,SEC,Kevin Smith,325000,8125,316875,316875,8125,4753125
357,California,Pac-12,Marcel Yates,320000,3200,316800,316800,3200,3623218
358,Iowa,Big Ten,Jay Niemann,350000,34000,316000,316000,34000,4753600
